danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,,,,,,,,
0.841,0.516,2,-12.32,1,0.28,0.0892,0,0.0781,0.26,120.007,Dark Trap,,,,,,,,
0.739,0.463,0,-5.451,0,0.293,0.00673,0,0.423,0.0457,200.092,Dark Trap,,,,,,,,
0.865,0.891,0,-5.618,0,0.265,0.0866,0,0.0842,0.671,200.074,Dark Trap,,,,,,,,
0.775,0.634,0,-7.535,1,0.105,0.176,1.78E-06,0.0628,0.521,200.064,Dark Trap,,,,,,,,
0.739,0.498,0,-7.448,1,0.371,0.136,0,0.0939,0.231,139.867,Dark Trap,,,,,,,,
0.725,0.578,10,-8.311,0,0.0864,0.0259,0.000117,0.387,0.0595,129.961,Dark Trap,,,,,,,,
0.63,0.876,10,-4.871,0,0.189,0.0166,0,0.223,0.256,210.134,Dark Trap,,,,,,,,
0.704,0.838,11,-4.042,1,0.29,0.0854,0,0.102,0.348,119.866,Dark Trap,,,,,,,,
0.735,0.811,0,-3.735,1,0.0601,0.11,0.164,0.528,0.42,207.852,Dark Trap,,,,,,,,
0.864,0.727,10,-5.996,1,0.1,0.0229,0,0.295,0.599,119.987,Dark Trap,,,,,,,,
0.48,0.984,3,-0.726,1,0.264,0.0484,0,0.472,0.393,139.958,Dark Trap,,,,,,,,
0.726,0.823,1,-4.666,1,0.115,0.00353,0,0.707,0.156,129.992,Dark Trap,,,,,,,,
0.755,0.765,10,-7.256,0,0.288,0.0272,0,0.565,0.401,219.89,Dark Trap,,,,,,,,
0.881,0.445,1,-9.83,1,0.107,0.00209,0.0647,0.114,0.0379,124.972,Dark Trap,,,,,,,,
0.849,0.98,1,-0.964,1,0.0575,0.254,0.000787,0.551,0.295,219.988,Dark Trap,,,,,,,,
0.602,0.762,2,-6.149,0,0.0347,0.0498,0.00819,0.121,0.112,184.04,Dark Trap,,,,,,,,
0.924,0.543,7,-6.612,1,0.0854,0.432,7.32E-05,0.11,0.104,199.994,Dark Trap,,,,,,,,
0.919,0.493,1,-8.81,1,0.0613,0.14,1.62E-06,0.122,0.159,216.152,Dark Trap,,,,,,,,
0.848,0.663,8,-5.606,0,0.245,0.523,0,0.108,0.333,133.993,Dark Trap,,,,,,,,
0.475,0.788,10,-4.851,0,0.342,0.231,0,0.128,0.26,206.056,Dark Trap,,,,,,,,
0.762,0.41,8,-11.979,1,0.0551,0.278,3.43E-05,0.157,0.0813,200.094,Dark Trap,,,,,,,,
0.789,0.623,6,-8.337,0,0.138,0.242,0,0.0835,0.678,203.982,Dark Trap,,,,,,,,
0.756,0.794,0,-4.539,1,0.208,0.0362,0,0.314,0.474,140.036,Dark Trap,,,,,,,,
0.799,0.546,9,-6.081,1,0.323,0.185,3.19E-06,0.0836,0.736,150.008,Dark Trap,,,,,,,,
